emoji,description
🌨,"cloud with snow. cloud with snow. cold, cloud, snow. Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour."
👎🏽,"thumbs down: medium skin tone. thumbs down: medium skin tone. thumb, hand, -1, medium skin tone, down. An experience that is irritating or frustrating or disappointing"
🌧,"cloud with rain. cloud with rain. cloud, rain. Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour."
👎🏼,"thumbs down: medium-light skin tone. thumbs down: medium-light skin tone. thumb, hand, medium-light skin tone, -1, down. An experience that is irritating or frustrating or disappointing"
🌦,"sun behind rain cloud. sun behind rain cloud. cloud, sun, rain. Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour."
👎🏻,"thumbs down: light skin tone. thumbs down: light skin tone. thumb, light skin tone, hand, -1, down. An experience that is irritating or frustrating or disappointing"
🌥,"sun behind large cloud. sun behind large cloud. cloud, sun. Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour."
🌤,"sun behind small cloud. sun behind small cloud. cloud, sun. Suspensions of minute water droplets or ice crystals produced by the condensation of water vapour."
👮🏼‍♂️,"man police officer: medium-light skin tone. man police officer: medium-light skin tone. officer, medium-light skin tone, police, man, cop. Any person in the armed services who holds a position of authority or command"
🌡,thermometer. thermometer. weather. An apparatus used to measure temperature.
🌠,"shooting star. shooting star. shooting, falling, star. Massive balls of plasma"
🤹🏾‍♂️,"man juggling: medium-dark skin tone. man juggling: medium-dark skin tone. multitask, juggling, medium-dark skin tone, man. Juggling is a physical skill, performed by a juggler, involving the manipulation of objects for recreation, entertainment, art, or sport."
🌟,"glowing star. glowing star. glittery, star, shining, sparkle, glow. Massive balls of plasma"
🌞,"sun with face. sun with face. sun, face, bright. Part of the body at the front of the head"
🌝,"full moon with face. full moon with face. moon, full, face, bright. Part of the body at the front of the head"
🌜,"last quarter moon with face. last quarter moon with face. moon, quarter, face. Part of the body at the front of the head"
🌛,"first quarter moon with face. first quarter moon with face. moon, quarter, face. Part of the body at the front of the head"
🌚,"new moon face. new moon face. moon, face. Part of the body at the front of the head"
🤷🏼‍♂️,"man shrugging: medium-light skin tone. man shrugging: medium-light skin tone. medium-light skin tone, indifference, shrug, ignorance, man, doubt. A gesture involving the shoulders"
👨🏾‍🍳,"man cook: medium-dark skin tone. man cook: medium-dark skin tone. cook, chef, medium-dark skin tone, man. Person who cooks professionally for other people"
🌙,"crescent moon. crescent moon. moon, crescent. The Sky is the portion of outer space or the atmosphere visible from a position within a world."
🌘,"waning crescent moon. waning crescent moon. moon, crescent, waning. Night or nighttime is the period of time between the sunset and the sunrise when the Sun is below the horizon."
🌗,"last quarter moon. last quarter moon. moon, quarter. A barcoding system for sorting mail used by the US Postal Service"
🏋️‍♂️,"man lifting weights. man lifting weights. weight lifter, man. Olympic weightlifting, also called Olympic-style weightlifting, or weightlifting, is an athletic discipline in the modern Olympic program in which the athlete attempts a maximum-weight single lift of a barbell loaded with weight plates."
🌖,"waning gibbous moon. waning gibbous moon. moon, gibbous, waning. The star that is the source of light and heat for the planets in the solar system"
🙎🏽‍♀️,"woman pouting: medium skin tone. woman pouting: medium skin tone. pouting, gesture, woman, medium skin tone. A woman is a female human."
🌕,"full moon. full moon. moon, full. Night or nighttime is the period of time between the sunset and the sunrise when the Sun is below the horizon."
🌔,"waxing gibbous moon. waxing gibbous moon. moon, gibbous, waxing. The Sky is the portion of outer space or the atmosphere visible from a position within a world."
🌓,"first quarter moon. first quarter moon. moon, quarter. A barcoding system for sorting mail used by the US Postal Service"
🌒,"waxing crescent moon. waxing crescent moon. moon, crescent, waxing. A barcoding system for sorting mail used by the US Postal Service"
🌑,"new moon. new moon. moon, dark. A barcoding system for sorting mail used by the US Postal Service"
🌐,"globe with meridians. globe with meridians. world, meridians, earth, globe. The specific internet consisting of a global network of computers that communicate using Internet Protocol (IP) and that use Border Gateway Protocol (BGP) to identify the best paths to route those communications."
🌏,"globe showing Asia-Australia. globe showing Asia-Australia. world, earth, australia, globe, asia. The largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations"
🕵🏿,"detective: dark skin tone. detective: dark skin tone. dark skin tone, sleuth, spy, detective. A detective who follows a trail"
🌎,"globe showing Americas. globe showing Americas. americas, world, earth, globe. The United States of America, commonly referred to as the United States, America, and sometimes the States, is a federal republic consisting of 50 states and a federal district."
🕵🏾,"detective: medium-dark skin tone. detective: medium-dark skin tone. sleuth, spy, medium-dark skin tone, detective. A detective who follows a trail"
🌍,"globe showing Europe-Africa. globe showing Europe-Africa. europe, world, earth, africa, globe. The second largest of the continents, on the Mediterranean in the north, the Atlantic in the west, and the Red Sea, Gulf of Aden, and Indian Ocean in the east."
🕵🏽,"detective: medium skin tone. detective: medium skin tone. sleuth, spy, detective, medium skin tone. A detective who follows a trail"
🌌,"milky way. milky way. space. The Milky Way Galaxy, from when it was thought the Universe (our universe) had only one galaxy"
🕵🏼,"detective: medium-light skin tone. detective: medium-light skin tone. sleuth, medium-light skin tone, spy, detective. A detective who follows a trail"
🌋,"volcano. volcano. mountain, eruption. A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area."
🕵🏻,"detective: light skin tone. detective: light skin tone. sleuth, light skin tone, spy, detective. A detective who follows a trail"
🌊,"water wave. water wave. water, ocean, wave. One of a series of ridges that moves across the surface of a liquid (especially across a large body of water)"
👨🏽‍⚕️,"man health worker: medium skin tone. man health worker: medium skin tone. doctor, nurse, healthcare, therapist, medium skin tone, man. Someone who practices medicine"
🌉,"bridge at night. bridge at night. night, bridge. A bridge is a structure built to span physical obstacles such as a body of water, valley, or road, for the purpose of providing passage over the obstacle."
🌈,rainbow. rainbow. rain. Optical phenomenon
🌇,"sunset. sunset. dusk, sun. Daily disappearance of the Sun below the western half of the horizon"
🚵🏻‍♂️,"man mountain biking: light skin tone. man mountain biking: light skin tone. bicycle, light skin tone, cyclist, bike, mountain, man. Off-road cycling using a mountain bike"
🌆,"cityscape at dusk. cityscape at dusk. dusk, sun, sunset, landscape, city, evening. The Sky is the portion of outer space or the atmosphere visible from a position within a world."
🌅,"sunrise. sunrise. sun, morning. Dawn is the time that marks the beginning of the twilight before sunrise."
🌄,"sunrise over mountains. sunrise over mountains. sun, mountain, sunrise, morning. A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area."
🌃,"night with stars. night with stars. night, star. Massive balls of plasma"
🌂,"closed umbrella. closed umbrella. umbrella, rain, clothing. The atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation"
🌁,foggy. foggy. fog. A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.
